Title;Abstract;Focus area(s);Geographical coverage;Type of resource;Entity;Publication date;Authors;DOI/URI;Tags;
Who are Central Banks? Gender, Human Resources, and Central BankingĘ;Central banks, as the epitome of the economics profession and the main paragon of public institutions, can reveal key insights into gender patterns. We create a novel multidimensional survey directed at eight central banks in advanced economies (G7 national central banks and the European Central Bank), covering several aspects of gender, such as womenŐs participation at different seniority levels, employment trends, and human resources practices. These elements are summarized in a new comprehensive index of gender equalityŃHuman Resources Gender Index (HRGI). We show that these central banks have room for improvement in the inclusion of women in economics professions, managerial positions, and with full time contracts. Women in central banking also face a gender pay gap. In comparison, International Financial Institutions (the International Monetary Fund, the World Bank Group, and the Organization for Economic Co-operation and Development) perform better in terms of gender equality. The HRGI index, hiring and promotion of women, and their contract types are associated with output and credit gaps, thus being of macro-critical importance. In return, some country characteristics can be related to gender equality, such as women in high-level positions, government effectiveness, and corruption.;Ownership and Use of Economic Assets;Advanced Economies;Working paper;International Monetary Fund;May-23;"Comunale, Mariarosaria ; de Bruxelles, Petra ; Kochhar, Kalpana ; Raskauskas, Juliette ; Unsal, D Filiz";https://www.imf.org/-/media/Files/Publications/WP/2023/English/wpiea2023091-print-pdf.ashx;Female Labor Force Participation (FLFP), Gender Pay Gap, Leadership & Management;
Gender, Poverty and Environmental Indicators on African Countries 2023;"This is the twenty-third volume of the publication on Indicators on Gender, Poverty, the Environment and Progress towards the Sustainable Development Goals in African Countries by the Statistics Department of the African Development Bank Group. The publication provides information on the broad development trends relating to gender, poverty, environmental issues and the SDGs in the 54 African countries.

This volume is divided into three main parts. Part I highlights the progress being made by African countries towards the 17 Sustainable Development Goals (SDGs). Part II presents comparative cross-country data on gender (section 1), poverty (section 2), and the environment (section 3). Part III provides more detailed data on each of these three themes across each of the 54 African countries.";Other;Africa;Volume;African Development Bank;Jun-23;ADB;https://www.afdb.org/en/documents/gender-poverty-and-environmental-indicators-african-countries-2023;Climate & Environment;
Gender and Firm Performance in Africa: Does the Business Environment Play a Moderating Role?;This paper examines the moderating role of the business environment in the relationship between the gender of the top manager and firm performance (measured as sales per employee), and whether female-managed firms perform better the higher the proportion of female employees in the firm. The paper uses World Bank Enterprise Survey data of 14,561 firms from 29 African countries collected between 2010 and 2016. The descriptive analysis reveals significant variation in the performance and experience of business environment constraints that disadvantage female-managed firms. Controlling for potential endogeneity and country fixed effects, we show that female-managed firms are associated with lower performance compared to male-managed firms. Electricity outages, informal competition and corruption account for the performance gap between female- and male-managed firms. However, we show that large female-managed firms perform better than large male-managed firms. Overall, the results imply that strengthening AfricaŐs business environment is central to closing the performance gap between male and female managers.;Leadership;Africa;Research paper;African Economic Research Consortium;Sep-23;"Okumu, Ibrahim Mike
Nathan, Sunday
Bbaale, Edward";https://publication.aercafricalibrary.org/handle/123456789/3644;Employment Access & Opportunities, Leadership & Management, Private Sector;
WomenŐs Economic Empowerment in the Pacific Region: A Comprehensive Analysis of Existing Research and Data;"The analysis focuses on entrepreneurship and on micro, small, and medium-sized enterprises owned by women. Drawing on over 200 published papers and studies and 11 quantitative datasets, it looks at what fosters and what hinders womenŐs economic empowerment in the Pacific. It considers business ownership, formalization, and expansion; violence against women and girls; and the effects of the COVID-19 pandemic. The materials include recommendations for research, policy, and programming.";Access to Jobs, Ownership and Use of Economic Assets, Gender-Based Violence (GBV);Pacific;Report;Asia Development Bank;Mar-23;ADB;http://dx.doi.org/10.22617/TCS230164-2;Entrepreneurship, Economic Empowerment, Productivity;
Do Age and Gender Make a Difference in the Attitude toward Tax Evasion? Evidence from Five Selected Asian Countries;"This study investigates the impact of age and gender on the attitude toward tax evasion with two objectives: The first objective is to find out if there are significant differences in the attitude toward tax evasion among three age groups (up to 29, 30-49, and 50+ years) in five Asian countries (China, Indonesia, Japan, Philippines, and South Korea). The second objective is to find out if there are significant differences in the attitude toward tax evasion between females and males across the three-age groups (up to 29, 30-49, and 50+ years old) in each of these five-Asian countries.Ę

The results of this study revealed significant differences in the attitude toward tax evasion among the three age groups in China and Indonesia. On the contrary, there are no significant differences in the attitude toward tax evasion among three age groups in Japan, Philippines, and South Korea. With respect to gender, there are significant differences in the attitude toward tax evasion between females and males in the Chinese middle-age group, but not in the youngest and oldest age groups. Similar findings are found in the Philippines sample. With respect to the Indonesian sample, there are significant differences in the attitude toward tax evasion between females and males in the youngest age group, but not in the other two age groups. Similar findings are found in the Philippines sample, but in the middle age group only. Finally, there are no significant differences in the attitude toward tax evasion between females and males in the Japanese and South Korean samples.";Other;Asia;Article;International Journal of Accounting, Economics, and Finance Perspectives;Mar-23;Pardisi, Ashiqullah and McGee, Robert W.;http://dx.doi.org/10.2139/ssrn.4378497;Fiscal Policy;
Gender Differences in Preferences for Non-Pecuniary Benefits in the Labor Market: Experimental Evidence from an Online Freelancing Platform;We conduct an experiment on a major international online freelancing labor market platform to study the impact of greater flexibility in choosing work hours within a day on female participation. We post identical job advertisements (for 320 jobs) covering a wide range of tasks (80 distinct tasks) that differ only in flexibility and the wage offered. Comparing the numbers of applicants for these jobs, we find that though both men and women prefer flexibility, the elasticity of response for women is twice that for the men. Flexible jobs receive 24% more female applications and 12% more male applications compared to inflexible jobs. Our findings have important implications for explaining gender differences in labor market outcomes and for firms interested in attracting more women employees.;Access to Jobs;Asia;Working paper;Asia Development Bank;May-23;Banerjee, Rakesh Bharati, Tushar Fakir, Adnan M. S. Qian, Yiwei Sunder, Naveen;https://doi.org/10.56506/RAPT9219;Employment Access & Opportunities;
Gender and the Total Work of Older Workers in Asia;Drawing on data from Bangladesh, India, Mongolia, and Thailand, estimates in this paper show that older people, especially older women, are doing a great deal of work caring for others. Policymakers should take this unpaid care work into account when designing policy around older peopleŐs market labor.;Access to Jobs, Human Capital;Asia;Working paper;Asia Development Bank;Jun-23;Donehower, Gretchen;https://dx.doi.org/10.22617/WPS230213-2;Care, Employment Access & Opportunities;
Gender-Inclusive Development through Fintech: Studying Gender-Based Digital Financial Inclusion in a Cross-Economy Setting;"Financial inclusion (FI) for vulnerable populations, such as women, is critical for achieving gender equality, womenŐs empowerment, and thereby inclusive growth. In this regard, the use of digital financial services is of particular significance for women as it allows them easier access to financial products for business and household needs. For implementing policies to reduce the financial exclusion of women, it is necessary to first measure the extent of FI in a society. While there have been several attempts to measure FI for the general population, there is limited literature on gender-based measurement of FI. We fill this important research gap by developing a gender-based FI index (GFII) focusing particularly on digital services and evaluating the performance of economies across the globe (by considering 109 economies based on data availability) in terms of a gender-based FI measure developed by us. This index has been developed using two separate indices, a digital financial service index (DFI) and a conventional financial service uses index (CFI). One contribution of the paper is to relate the Gender Development Index (GDI) and the Gender Inequality Index (GII) of economies, two well-known measures of inclusive development, with the GFII and the DFI for females (DFIF). This exercise shows that while there is a positive correlation between these two sets of indicators, there are a number of economies that are high (or low) in gender development (or inequality),which need 
to improve their digital FI. Interestingly, using the Global Findex database and the Feasible Generalized Least Squares (FGLS) and instrumental variable panel data model, we show that health, education, the labor force participation rate, and political empowerment of women significantly impact the digital financial inclusion of women. We make relevant policy suggestions for improving womenŐs digital financial access and thereby enhancing gender empowerment for faster and more inclusive growth.";Access to and Use of Services, Ownership and Use of Economic Assets;Asia;Working paper;Asia Development Bank;Jun-23;"	
Tripathi, Sabyasachi Rajeev, Meenakshi";https://doi.org/10.56506/ZWGS6876;Financial Services & Inclusion;
Gender Bonds: From Incidental to Center Stage;Outlining why gender bonds make up just a fraction of sustainable bond issuance, it highlights the need to increase issuer and investor understanding, eradicate misconceptions, and improve performance data. Assessing the need for comprehensive standards and guidelines, it recommends development finance institutions take an active role in helping spur the growth of gender bonds to bolster womenŐs empowerment and meet crucial sustainable development targets.;Other;Asia and Pacific;Working paper;Asia Development Bank;Feb-23;Garzon de la Roza, Gisela Romero, Joanna Maria Sarah;http://dx.doi.org/10.22617/BRF230048;Financial Services & Inclusion;
Taxation and Gender in Asia and the Pacific: A Review of Gender Equality Provisions in Fiscal Legal Frameworks;This report assesses key aspects of fiscal policies and legislation that affect gender equality by establishing a comprehensive baseline of reliable legal and tax information, supported by economy-specific case studies. It emphasizes the need for further gender analysis and underscores the potential of tax policies to drive desired socioeconomic outcomes, enhance labor force participation, and mitigate the widening gender gaps resulting from these factors.;Other;Asia, Pacific;Working paper;Asia Development Bank;Jul-23;Niesten, Hannelore;http://dx.doi.org/10.22617/WPS230271-2;Employment Access & Opportunities, Legislation, Fiscal Policy;
